UC;Nome;Aprovados;Reprovados;NaoAvaliados;Abandonos;Inscritos;Curso;Semestre;Ano
425203;Fundamentos de Programação;10;0;8;0;18;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425203;Fundamentos de Programação;1;0;4;0;5;Mestrado Bolonha em Informática;1;2016
425203;Fundamentos de Programação;5;0;5;0;10;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2016
425212;Visualização de Dados Científicos;2;0;1;0;3;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425216;Aprendizagem Automática;2;0;0;0;2;Curso Livre em Erasmus;1;2016
425216;Aprendizagem Automática;3;0;0;0;3;Licenciatura Bolonha em Engenharia Informática;1;2016
425216;Aprendizagem Automática;4;1;0;0;5;Mestrado Bolonha em Engenharia Informática;1;2016
425216;Aprendizagem Automática;2;0;0;0;2;Mestrado Bolonha em Informática;1;2016
425220;Aprendizagem Automática nas Ciências;4;0;2;0;6;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425221;Programação Por Objetos;0;2;0;0;2;Curso de Especialização em Informática;1;2016
425221;Programação Por Objetos;1;0;0;0;1;Licenciatura Bolonha em Engenharia Geográfica;1;2016
425221;Programação Por Objetos;0;1;0;0;1;Licenciatura Bolonha em Estatística Aplicada;1;2016
425221;Programação Por Objetos;1;0;0;0;1;Licenciatura Bolonha em Matemática Aplicada;1;2016
425221;Programação Por Objetos;3;0;2;0;5;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2016
425221;Programação Por Objetos;3;0;0;0;3;Mestrado Bolonha em Estatística e Investigação Operacional;1;2016
425221;Programação Por Objetos;2;0;1;0;3;Mestrado Bolonha em Física;1;2016
425221;Programação Por Objetos;2;1;4;0;7;Mestrado Bolonha em Informática;1;2016
425221;Programação Por Objetos;1;1;0;0;2;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2016
425221;Programação Por Objetos;1;0;0;0;1;Mestrado Integrado em Engenharia Física;1;2016
425230;Análise e Gestão de Risco em Segurança Informática;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425230;Análise e Gestão de Risco em Segurança Informática;1;0;0;0;1;Mestrado Bolonha em Engenharia Informática;1;2016
425230;Análise e Gestão de Risco em Segurança Informática;0;0;1;0;1;Mestrado Bolonha em Informática;1;2016
425230;Análise e Gestão de Risco em Segurança Informática;14;0;1;0;15;Mestrado Bolonha em Segurança Informática;1;2016
425232;Cibercrime e Análise Forense;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2016
425232;Cibercrime e Análise Forense;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2016
425232;Cibercrime e Análise Forense;15;0;0;0;15;Mestrado Bolonha em Segurança Informática;1;2016
425236;Internet das Coisas;1;0;2;0;3;Curso de Especialização em Informática;1;2016
425236;Internet das Coisas;3;0;0;0;3;Mestrado Bolonha em Engenharia Informática;1;2016
425236;Internet das Coisas;2;0;2;0;4;Mestrado Bolonha em Informática;1;2016
425239;Experiência de Utilização;0;0;1;0;1;Curso de Especialização em Informática;1;2016
425239;Experiência de Utilização;2;0;0;0;2;Curso Livre em Erasmus;1;2016
425239;Experiência de Utilização;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;1;2016
425239;Experiência de Utilização;11;0;0;0;11;Mestrado Bolonha em Engenharia Informática;1;2016
425239;Experiência de Utilização;1;0;1;0;2;Mestrado Bolonha em Informática;1;2016
425109;Animação e Ambientes Virtuais;0;0;1;0;1;Curso de Especialização em Informática;2;2016
425109;Animação e Ambientes Virtuais;5;0;0;0;5;Licenciatura Bolonha em Engenharia Informática;2;2016
425109;Animação e Ambientes Virtuais;17;1;0;0;18;Mestrado Bolonha em Engenharia Informática;2;2016
425109;Animação e Ambientes Virtuais;0;0;1;0;1;Mestrado Bolonha em Informática;2;2016
425110;Aplicações na Web;0;2;0;0;2;Curso de Especialização em Informática;2;2016
425110;Aplicações na Web;1;2;0;0;3;Curso Livre em Erasmus;2;2016
425110;Aplicações na Web;1;0;0;0;1;Curso Livre em Regime Livre;2;2016
425110;Aplicações na Web;1;0;0;0;1;Licenciatura Bolonha em Engenharia Geográfica;2;2016
425110;Aplicações na Web;3;0;0;0;3;Licenciatura Bolonha em Engenharia Informática;2;2016
425110;Aplicações na Web;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2016
425110;Aplicações na Web;5;6;0;0;11;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2016
425110;Aplicações na Web;19;0;0;0;19;Mestrado Bolonha em Engenharia Informática;2;2016
425110;Aplicações na Web;5;3;0;0;8;Mestrado Bolonha em Informática;2;2016
425110;Aplicações na Web;0;9;0;0;9;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2016
425115;Configuração e Gestão de Sistemas;0;0;1;0;1;Curso de Especialização em Informática;2;2016
425115;Configuração e Gestão de Sistemas;1;0;0;0;1;Curso Livre em Erasmus;2;2016
425115;Configuração e Gestão de Sistemas;1;1;1;0;3;Licenciatura Bolonha em Engenharia Informática;2;2016
425115;Configuração e Gestão de Sistemas;4;0;0;0;4;Mestrado Bolonha em Engenharia Informática;2;2016
425115;Configuração e Gestão de Sistemas;2;0;1;0;3;Mestrado Bolonha em Informática;2;2016
425115;Configuração e Gestão de Sistemas;14;0;0;0;14;Mestrado Bolonha em Segurança Informática;2;2016
425116;Desenho e Análise de Algoritmos;0;0;1;0;1;Curso de Especialização em Informática;2;2016
425116;Desenho e Análise de Algoritmos;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425116;Desenho e Análise de Algoritmos;9;0;0;0;9;Mestrado Bolonha em Engenharia Informática;2;2016
425116;Desenho e Análise de Algoritmos;1;0;0;0;1;Mestrado Bolonha em Física;2;2016
425116;Desenho e Análise de Algoritmos;0;0;6;0;6;Mestrado Bolonha em Informática;2;2016
425116;Desenho e Análise de Algoritmos;1;0;0;0;1;Mestrado Bolonha em Segurança Informática;2;2016
425118;Deteção e Tolerância a Intrusões;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425118;Deteção e Tolerância a Intrusões;3;1;0;0;4;Mestrado Bolonha em Engenharia Informática;2;2016
425118;Deteção e Tolerância a Intrusões;1;0;0;0;1;Mestrado Bolonha em Informática;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;0;0;1;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;1;0;2;Curso de Especialização em Informática;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;0;0;1;Curso Livre em Erasmus;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;1;0;2;Licenciatura Bolonha em Engenharia Geográfica;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;1;0;2;Licenciatura Bolonha em Engenharia Informática;2;2016
425124;Integração e Processamento Analítico de Informação;2;0;0;0;2;Licenciatura Bolonha em Tecnologias de Informação;2;2016
425124;Integração e Processamento Analítico de Informação;16;0;1;0;17;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2016
425124;Integração e Processamento Analítico de Informação;4;0;1;0;5;Mestrado Bolonha em Engenharia Geográfica;2;2016
425124;Integração e Processamento Analítico de Informação;9;2;1;0;12;Mestrado Bolonha em Engenharia Informática;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;0;0;1;Mestrado Bolonha em Física;2;2016
425124;Integração e Processamento Analítico de Informação;6;0;3;0;9;Mestrado Bolonha em Informática;2;2016
425124;Integração e Processamento Analítico de Informação;6;1;2;0;9;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2016
425124;Integração e Processamento Analítico de Informação;1;0;0;0;1;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2016
425128;Multimédia;1;0;2;0;3;Curso de Especialização em Informática;2;2016
425128;Multimédia;2;0;0;0;2;Curso Livre em Erasmus;2;2016
425128;Multimédia;3;0;0;0;3;Mestrado Bolonha em Engenharia Informática;2;2016
425128;Multimédia;2;0;4;0;6;Mestrado Bolonha em Informática;2;2016
425134;Protocolos em Redes de Dados;2;0;0;0;2;Curso Livre em Erasmus;2;2016
425134;Protocolos em Redes de Dados;3;0;0;0;3;Mestrado Bolonha em Engenharia Informática;2;2016
425134;Protocolos em Redes de Dados;10;0;0;0;10;Mestrado Bolonha em Segurança Informática;2;2016
425135;Qualidade de Software;0;0;2;0;2;Curso de Especialização em Informática;2;2016
425135;Qualidade de Software;5;1;0;0;6;Licenciatura Bolonha em Engenharia Informática;2;2016
425135;Qualidade de Software;14;0;0;0;14;Mestrado Bolonha em Engenharia Informática;2;2016
425135;Qualidade de Software;0;1;0;0;1;Mestrado Bolonha em Informática;2;2016
425150;Técnicas de Compilação;7;1;0;0;8;Mestrado Bolonha em Engenharia Informática;2;2016
425151;Técnicas de Interação Avançadas;2;0;0;0;2;Licenciatura Bolonha em Engenharia Informática;2;2016
425151;Técnicas de Interação Avançadas;3;0;0;0;3;Mestrado Bolonha em Engenharia Informática;2;2016
425151;Técnicas de Interação Avançadas;1;0;1;0;2;Mestrado Bolonha em Informática;2;2016
425151;Técnicas de Interação Avançadas;2;0;0;0;2;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2016
425154;Tecnologias de Segurança;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425154;Tecnologias de Segurança;0;0;1;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2016
425154;Tecnologias de Segurança;5;0;0;0;5;Mestrado Bolonha em Engenharia Informática;2;2016
425154;Tecnologias de Segurança;1;0;3;0;4;Mestrado Bolonha em Informática;2;2016
425159;Verificação e Validação de Software;0;0;1;0;1;Curso de Especialização em Informática;2;2016
425159;Verificação e Validação de Software;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425159;Verificação e Validação de Software;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2016
425159;Verificação e Validação de Software;25;0;2;0;27;Mestrado Bolonha em Engenharia Informática;2;2016
425159;Verificação e Validação de Software;7;0;1;0;8;Mestrado Bolonha em Informática;2;2016
425175;Segurança Aplicada;0;1;1;0;2;Curso Livre em Erasmus;2;2016
425175;Segurança Aplicada;15;0;2;0;17;Mestrado Bolonha em Segurança Informática;2;2016
425184;Tolerância a Intrusões;15;3;0;0;18;Mestrado Bolonha em Segurança Informática;2;2016
425194;Bioinformática;1;0;0;0;1;Curso de Especialização em Informática;2;2016
425194;Bioinformática;1;0;0;0;1;Curso Livre em Regime Livre;2;2016
425194;Bioinformática;1;0;0;0;1;Licenciatura Bolonha em Biologia;2;2016
425194;Bioinformática;1;0;0;0;1;Mestrado Bolonha em Bioestatística;2;2016
425194;Bioinformática;18;0;3;0;21;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2016
425194;Bioinformática;3;0;0;0;3;Mestrado Bolonha em Bioquímica;2;2016
425194;Bioinformática;3;0;1;0;4;Mestrado Bolonha em Informática;2;2016
425194;Bioinformática;3;0;1;0;4;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2016
425194;Bioinformática;1;0;1;0;2;Mestrado Integrado em Engenharia Física;2;2016
425202;Complementos de Programação;1;0;2;0;3;Curso de Especialização em Informática;2;2016
425202;Complementos de Programação;1;0;0;0;1;Curso Livre em Erasmus;2;2016
425202;Complementos de Programação;1;0;0;0;1;Licenciatura Bolonha em Biologia;2;2016
425202;Complementos de Programação;15;0;2;0;17;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2016
425202;Complementos de Programação;1;0;0;0;1;Mestrado Bolonha em Bioquímica;2;2016
425202;Complementos de Programação;1;0;4;0;5;Mestrado Bolonha em Informática;2;2016
425202;Complementos de Programação;3;0;0;0;3;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;2;2016
425205;Inteligência Artificial em Jogos;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425205;Inteligência Artificial em Jogos;7;0;0;0;7;Mestrado Bolonha em Engenharia Informática;2;2016
425205;Inteligência Artificial em Jogos;1;1;1;0;3;Mestrado Bolonha em Informática;2;2016
425208;Robôs Móveis;3;0;0;0;3;Licenciatura Bolonha em Engenharia Informática;2;2016
425208;Robôs Móveis;7;0;0;0;7;Mestrado Bolonha em Engenharia Informática;2;2016
425208;Robôs Móveis;0;0;1;0;1;Mestrado Bolonha em Informática;2;2016
425208;Robôs Móveis;14;0;3;0;17;Mestrado Integrado em Engenharia Biomédica e Biofísica;2;2016
425213;Ontologias aplicadas às Ciências;1;0;0;0;1;Licenciatura Bolonha em Biologia;2;2016
425213;Ontologias aplicadas às Ciências;17;0;1;0;18;Mestrado Bolonha em Bioinformática e Biologia Computacional;2;2016
425213;Ontologias aplicadas às Ciências;1;0;0;0;1;Mestrado Bolonha em Biologia Evolutiva e do Desenvolvimento;2;2016
425231;Direito da Cibersegurança;0;0;1;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425231;Direito da Cibersegurança;7;0;4;0;11;Mestrado Bolonha em Segurança Informática;2;2016
425234;Procedimentos de Segurança e Manuseamento de Informação Classificada;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;2;2016
425234;Procedimentos de Segurança e Manuseamento de Informação Classificada;8;0;0;0;8;Mestrado Bolonha em Segurança Informática;2;2016
425237;Sistemas Ciberfísicos;1;0;0;0;1;Mestrado Bolonha em Segurança Informática;2;2016
425238;Computação Declarativa;1;0;1;0;2;Curso de Especialização em Informática;2;2016
425238;Computação Declarativa;2;0;1;0;3;Mestrado Bolonha em Informática;2;2016
425240;Computação em Nuvem;0;0;1;0;1;Curso de Especialização em Informática;2;2016
425240;Computação em Nuvem;1;0;0;0;1;Curso Livre em Erasmus;2;2016
425240;Computação em Nuvem;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;2;2016
425240;Computação em Nuvem;2;1;1;0;4;Mestrado Bolonha em Informática;2;2016
425240;Computação em Nuvem;4;0;0;0;4;Mestrado Bolonha em Segurança Informática;2;2016
425248;Seminário em Ciência de Dados;11;3;1;0;15;Curso de Especialização em Data Science;1;2017
425247;Fundamentos de Ciência de Dados;14;1;1;0;16;Curso de Especialização em Data Science;1;2017
425247;Fundamentos de Ciência de Dados;1;0;0;0;1;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2017
425243;Visualização de Dados;2;0;1;0;3;Curso de Especialização em Data Science;1;2017
425243;Visualização de Dados;0;0;1;0;1;Curso de Especialização em Estatística Aplicada à Biologia e Ciências da Saúde;1;2017
425243;Visualização de Dados;1;0;1;0;2;Curso de Especialização em Informática;1;2017
425243;Visualização de Dados;3;0;0;0;3;Curso Livre em Erasmus;1;2017
425243;Visualização de Dados;1;0;0;0;1;Licenciatura Bolonha em Biologia;1;2017
425243;Visualização de Dados;1;0;0;0;1;Licenciatura Bolonha em Engenharia Geoespacial;1;2017
425243;Visualização de Dados;1;0;0;0;1;Licenciatura Bolonha em Matemática Aplicada;1;2017
425243;Visualização de Dados;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2017
425243;Visualização de Dados;4;0;0;0;4;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2017
425243;Visualização de Dados;10;0;2;0;12;Mestrado Bolonha em Informática;1;2017
425243;Visualização de Dados;3;0;0;0;3;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2017
425243;Visualização de Dados;8;0;1;0;9;Mestrado Integrado em Engenharia Biomédica e Biofísica;1;2017
425242;Prospeção de Dados;9;1;2;0;12;Curso de Especialização em Data Science;1;2017
425242;Prospeção de Dados;1;0;0;0;1;Curso de Especialização em Informática;1;2017
425242;Prospeção de Dados;1;0;0;0;1;Licenciatura Bolonha em Matemática Aplicada;1;2017
425242;Prospeção de Dados;1;0;0;0;1;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2017
425242;Prospeção de Dados;1;0;0;0;1;Mestrado Bolonha em Engenharia Informática;1;2017
425242;Prospeção de Dados;2;0;0;0;2;Mestrado Bolonha em Física;1;2017
425242;Prospeção de Dados;3;0;3;0;6;Mestrado Bolonha em Informática;1;2017
425242;Prospeção de Dados;3;0;0;0;3;Mestrado Bolonha em Sistemas de Informação Geográfica - Tecnologias e Aplicações;1;2017
425239;Experiência de Utilização;1;0;0;0;1;Curso Livre em Erasmus;1;2017
425239;Experiência de Utilização;3;0;0;0;3;Licenciatura Bolonha em Engenharia Informática;1;2017
425239;Experiência de Utilização;3;0;0;0;3;Licenciatura Bolonha em Tecnologias de Informação;1;2017
425239;Experiência de Utilização;6;0;0;0;6;Mestrado Bolonha em Engenharia Informática;1;2017
425239;Experiência de Utilização;7;0;0;0;7;Mestrado Bolonha em Informática;1;2017
425232;Cibercrime e Análise Forense;11;0;3;0;14;Mestrado Bolonha em Segurança Informática;1;2017
425230;Análise e Gestão de Risco em Segurança Informática;1;0;0;0;1;Curso de Especialização em Informática;1;2017
425230;Análise e Gestão de Risco em Segurança Informática;1;0;0;0;1;Licenciatura Bolonha em Engenharia Informática;1;2017
425230;Análise e Gestão de Risco em Segurança Informática;1;0;0;0;1;Licenciatura Bolonha em Tecnologias de Informação;1;2017
425230;Análise e Gestão de Risco em Segurança Informática;2;0;0;0;2;Mestrado Bolonha em Engenharia Informática;1;2017
425230;Análise e Gestão de Risco em Segurança Informática;8;1;2;0;11;Mestrado Bolonha em Segurança Informática;1;2017
425221;Programação Por Objetos;1;1;1;0;3;Curso de Especialização em Informática;1;2017
425221;Programação Por Objetos;0;0;1;0;1;Curso Livre em Erasmus;1;2017
425221;Programação Por Objetos;0;0;1;0;1;Licenciatura Bolonha em Física;1;2017
425221;Programação Por Objetos;0;1;0;0;1;Licenciatura Bolonha em Matemática Aplicada;1;2017
425221;Programação Por Objetos;1;0;1;0;2;Mestrado Bolonha em Bioinformática e Biologia Computacional;1;2017
425221;Programação Por Objetos;5;0;1;0;6;Mestrado Bolonha em Física;1;2017
425221;Programação Por Objetos;2;1;1;0;4;Mestrado Bolonha em Informática;1;2017
